Time (s),Binding (nm)
0.2,0.00192378
0.4,0.00378566
0.6,0.00415212
0.8,0.00513139
1.0,0.00484042
1.2,0.00434836
1.4,0.00416892
1.6,0.00402827
1.8,0.00337446
2.0,0.00388519
2.2,0.00365139
2.4,0.00360614
2.6,0.0050083
2.8,0.00485357
3.0,0.00427382
3.2,0.00505638
3.4,0.00489091
3.6,0.00394336
3.8,0.00509037
4.0,0.00671619
4.2,0.00695249
4.4,0.00756099
4.6,0.00774257
4.8,0.00665548
5.0,0.00582843
5.2,0.00541342
5.4,0.00492272
5.6,0.00545417
5.8,0.00666688
6.0,0.00704085
6.2,0.0073012
6.4,0.00782077
6.6,0.00633279
6.8,0.00498639
7.0,0.0045881
7.2,0.00459327
7.4,0.0040168
7.6,0.00432722
7.8,0.00463507
8.0,0.00428625
8.2,0.00456735
8.4,0.00541706
8.6,0.0066151
8.8,0.007265
9.0,0.00761428
9.2,0.00686674
9.4,0.00616806
9.6,0.00563684
9.8,0.00510212
10.0,0.00527829
10.2,0.0048275
10.4,0.00514551
10.6,0.00448402
10.8,0.00468905
11.0,0.00591346
11.2,0.00685721
11.4,0.00676327
11.6,0.00795018
11.8,0.00787664
12.0,0.00698464
12.2,0.00771562
12.4,0.00785648
12.6,0.00678468
12.8,0.00730135
13.0,0.00603406
13.2,0.00549065
13.4,0.00549956
13.6,0.00497072
13.8,0.00368917
14.0,0.00418696
14.2,0.0033952
14.4,0.00266576
14.6,0.00284676
14.8,0.00349712
15.0,0.00433256
15.2,0.00492698
15.4,0.00579676
15.6,0.00623988
15.8,0.00693875
16.0,0.00627493
16.2,0.00642692
16.4,0.00662965
16.6,0.00655244
16.8,0.00548921
17.0,0.00551485
17.2,0.00486435
17.4,0.00406369
17.6,0.00479206
17.8,0.00525735
18.0,0.00555376
18.2,0.00547464
18.4,0.00515001
18.6,0.0050011
18.8,0.00502177
19.0,0.00474566
19.2,0.00590213
19.4,0.00608665
19.6,0.00558732
19.8,0.00654441
20.0,0.00689593
20.2,0.00696368
20.4,0.00664226
20.6,0.00798942
20.8,0.00689889
21.0,0.00740491
21.2,0.00669232
21.4,0.00646725
21.6,0.00635088
21.8,0.0063834
22.0,0.0057899
22.2,0.00593753
22.4,0.00635485
22.6,0.00512164
22.8,0.005663
23.0,0.00625451
23.2,0.00613321
23.4,0.00600119
23.6,0.00673785
23.8,0.00508572
24.0,0.00418918
24.2,0.00441411
24.4,0.00533679
24.6,0.00664934
24.8,0.00894255
25.0,0.00932128
25.2,0.00888955
25.4,0.00884167
25.6,0.00740517
25.8,0.00641721
26.0,0.00561295
26.2,0.00602022
26.4,0.0056037
26.6,0.00565181
26.8,0.00584767
27.0,0.00686898
27.2,0.00691929
27.4,0.00644709
27.6,0.00663479
27.8,0.00734283
28.0,0.00678825
28.2,0.00649819
28.4,0.00730652
28.6,0.00699158
28.8,0.00624794
29.0,0.00636529
29.2,0.00656557
29.4,0.00601883
29.6,0.00619129
29.8,0.00637173
30.2,-0.133245
30.4,-0.129563
30.6,-0.128769
30.8,-0.12846
31.0,-0.126729
31.2,-0.125149
31.4,-0.124156
31.6,-0.122909
31.8,-0.121075
32.0,-0.119781
32.2,-0.118946
32.4,-0.118995
32.6,-0.118505
32.8,-0.118594
33.0,-0.117748
33.2,-0.116453
33.4,-0.115678
33.6,-0.115267
33.8,-0.11498
34.0,-0.114382
34.2,-0.115071
34.4,-0.114703
34.6,-0.114659
34.8,-0.114526
35.0,-0.114691
35.2,-0.113926
35.4,-0.113579
35.6,-0.113202
35.8,-0.112698
36.0,-0.112527
36.2,-0.112747
36.4,-0.111684
36.6,-0.111181
36.8,-0.11046
37.0,-0.111301
37.2,-0.11169
37.4,-0.113124
37.6,-0.114484
37.8,-0.114234
38.0,-0.113408
38.2,-0.112442
38.4,-0.111382
38.6,-0.109591
38.8,-0.110143
39.0,-0.109898
39.2,-0.109786
39.4,-0.109991
39.6,-0.109958
39.8,-0.109913
40.0,-0.110468
40.2,-0.110806
40.4,-0.11038
40.6,-0.110744
40.8,-0.110335
41.0,-0.10947
41.2,-0.109659
41.4,-0.109748
41.6,-0.110104
41.8,-0.109596
42.0,-0.110543
42.2,-0.111119
42.4,-0.110516
42.6,-0.109763
42.8,-0.110929
43.0,-0.111004
43.2,-0.109297
43.4,-0.109985
43.6,-0.110084
43.8,-0.109374
44.0,-0.106982
44.2,-0.107629
44.4,-0.106875
44.6,-0.10651
44.8,-0.106199
45.0,-0.107023
45.2,-0.10644
45.4,-0.107089
45.6,-0.105813
45.8,-0.105853
46.0,-0.106158
46.2,-0.106412
46.4,-0.105579
46.6,-0.106865
46.8,-0.106079
47.0,-0.106758
47.2,-0.106011
47.4,-0.105886
47.6,-0.106146
47.8,-0.106893
48.0,-0.105208
48.2,-0.105658
48.4,-0.105657
48.6,-0.105061
48.8,-0.105399
49.0,-0.106039
49.2,-0.105692
49.4,-0.105299
49.6,-0.104878
49.8,-0.10378
50.0,-0.104383
50.2,-0.106123
50.4,-0.106251
50.6,-0.107176
50.8,-0.107816
51.0,-0.106981
51.2,-0.105144
51.4,-0.106126
51.6,-0.105449
51.8,-0.105848
52.0,-0.10562
52.2,-0.105866
52.4,-0.105205
52.6,-0.104528
52.8,-0.103708
53.0,-0.10483
53.2,-0.104694
53.4,-0.104886
53.6,-0.105853
53.8,-0.106133
54.0,-0.105561
54.2,-0.106378
54.4,-0.105999
54.6,-0.105092
54.8,-0.105174
55.0,-0.105228
55.2,-0.104385
55.4,-0.104914
55.6,-0.105733
55.8,-0.10574
56.0,-0.10569
56.2,-0.106145
56.4,-0.106089
56.6,-0.105897
56.8,-0.105815
57.0,-0.105718
57.2,-0.10507
57.4,-0.104994
57.6,-0.104472
57.8,-0.104551
58.0,-0.104305
58.2,-0.104864
58.4,-0.104104
58.6,-0.104225
58.8,-0.103319
59.0,-0.102907
59.2,-0.102739
59.4,-0.102968
59.6,-0.103451
59.8,-0.103224
60.0,-0.102604
60.2,-0.102435
60.4,-0.102834
60.6,-0.101347
60.8,-0.102474
61.0,-0.102868
61.2,-0.1031
61.4,-0.102993
61.6,-0.103849
61.8,-0.103563
62.0,-0.103933
62.2,-0.104361
62.4,-0.104257
62.6,-0.104037
62.8,-0.103174
63.0,-0.102928
63.2,-0.101895
63.4,-0.10199
63.6,-0.102438
63.8,-0.103035
64.0,-0.10297
64.2,-0.103114
64.4,-0.10287
64.6,-0.102355
64.8,-0.1026
65.0,-0.10226
65.2,-0.102895
65.4,-0.102133
65.6,-0.102998
65.8,-0.102178
66.0,-0.102843
66.2,-0.102221
66.4,-0.102851
66.6,-0.102238
66.8,-0.102336
67.0,-0.101841
67.2,-0.101294
67.4,-0.100842
67.6,-0.101102
67.8,-0.101338
68.0,-0.102208
68.2,-0.102849
68.4,-0.10349
68.6,-0.103113
68.8,-0.103325
69.0,-0.102534
69.2,-0.102259
69.4,-0.101379
69.6,-0.101832
69.8,-0.101402
70.0,-0.100958
70.2,-0.100225
70.4,-0.100289
70.6,-0.100287
70.8,-0.100614
71.0,-0.099663
71.2,-0.0999047
71.4,-0.100633
71.6,-0.100779
71.8,-0.10024
72.0,-0.101192
72.2,-0.101734
72.4,-0.101572
72.6,-0.101184
72.8,-0.101827
73.0,-0.102061
73.2,-0.101937
73.4,-0.10074
73.6,-0.100305
73.8,-0.0996769
74.0,-0.099135
74.2,-0.0989425
74.4,-0.100083
74.6,-0.101336
74.8,-0.100925
75.0,-0.102121
75.2,-0.10212
75.4,-0.101227
75.6,-0.100433
75.8,-0.101218
76.0,-0.100417
76.2,-0.100002
76.4,-0.102284
76.6,-0.101912
76.8,-0.101176
77.0,-0.101094
77.2,-0.100947
77.4,-0.0997688
77.6,-0.100856
77.8,-0.10177
78.0,-0.101632
78.2,-0.102535
78.4,-0.102807
78.6,-0.10231
78.8,-0.101547
79.0,-0.101614
79.2,-0.100561
79.4,-0.0997508
79.6,-0.0986198
79.8,-0.0980643
80.0,-0.0993454
80.2,-0.10037
80.4,-0.0994181
80.6,-0.10013
80.8,-0.10124
81.0,-0.0993231
81.2,-0.0984262
81.4,-0.0993026
81.6,-0.0987979
81.8,-0.098462
82.0,-0.0991616
82.2,-0.0997907
82.4,-0.100783
82.6,-0.100923
82.8,-0.102095
83.0,-0.101882
83.2,-0.101805
83.4,-0.100967
83.6,-0.100766
83.8,-0.0986179
84.0,-0.0997249
84.2,-0.0994917
84.4,-0.0987491
84.6,-0.0988186
84.8,-0.0989319
85.0,-0.0980327
85.2,-0.0978321
85.4,-0.0978056
85.6,-0.0981785
85.8,-0.0984362
86.0,-0.0993397
86.2,-0.0995874
86.4,-0.100242
86.6,-0.100098
86.8,-0.10058
87.0,-0.100244
87.2,-0.0995838
87.4,-0.0987895
87.6,-0.0992358
87.8,-0.0988053
88.0,-0.0976283
88.2,-0.0984029
88.4,-0.0985229
88.6,-0.0975548
88.8,-0.0972119
89.0,-0.0977625
89.2,-0.0971566
89.4,-0.0979625
89.6,-0.0989153
89.8,-0.0993829
90.0,-0.0992459
90.2,-0.0987978
90.4,-0.0978915
90.6,-0.0977242
90.8,-0.0975102
91.0,-0.0979702
91.2,-0.0986535
91.4,-0.098527
91.6,-0.0988357
91.8,-0.0993197
92.0,-0.0992943
92.2,-0.0998592
92.4,-0.100889
92.6,-0.0997668
92.8,-0.0994994
93.0,-0.0988933
93.2,-0.098069
93.4,-0.0966319
93.6,-0.0968114
93.8,-0.0970683
94.0,-0.0973991
94.2,-0.0971243
94.4,-0.0985032
94.6,-0.098112
94.8,-0.0984262
95.0,-0.0970383
95.2,-0.0971315
95.4,-0.096449
95.6,-0.0966855
95.8,-0.0963928
96.0,-0.0975312
96.2,-0.0972936
96.4,-0.0971451
96.6,-0.0967403
96.8,-0.0957869
97.0,-0.0959539
97.2,-0.0959996
97.4,-0.0958256
97.6,-0.0966229
97.8,-0.0970852
98.0,-0.0967318
98.2,-0.0974986
98.4,-0.0986693
98.6,-0.0984175
98.8,-0.0984865
99.0,-0.0978517
99.2,-0.0975126
99.4,-0.0962505
99.6,-0.0953075
99.8,-0.0954245
100.0,-0.0962038
100.2,-0.0951112
100.4,-0.095425
100.6,-0.0965288
100.8,-0.0966519
101.0,-0.0963637
101.2,-0.0975847
101.4,-0.0974735
101.6,-0.0975588
101.8,-0.0974496
102.0,-0.0980572
102.2,-0.0971299
102.4,-0.0973018
102.6,-0.0963043
