Time (s),Binding (nm)
0.0,0.0
0.2,0.003682
0.4,0.004476
0.6,0.004785
0.8,0.006516
1.0,0.008096
1.2,0.009089
1.4,0.010336
1.6,0.01217
1.8,0.013464
2.0,0.014299
2.2,0.01425
2.4,0.01474
2.6,0.014651
2.8,0.015497
3.0,0.016792
3.2,0.017567
3.4,0.017978
3.6,0.018265
3.8,0.018863
4.0,0.018174
4.2,0.018542
4.4,0.018586
4.6,0.018719
4.8,0.018554
5.0,0.019319
5.2,0.019666
5.4,0.020043
5.6,0.020547
5.8,0.020718
6.0,0.020498
6.2,0.021561
6.4,0.022064
6.6,0.022785
6.8,0.021944
7.0,0.021555
7.2,0.020121
7.4,0.018761
7.6,0.019011
7.8,0.019837
8.0,0.020803
8.2,0.021863
8.4,0.023654
8.6,0.023102
8.8,0.023347
9.0,0.023459
9.2,0.023254
9.4,0.023287
9.6,0.023332
9.8,0.022777
10.0,0.022439
10.2,0.022865
10.4,0.022501
10.6,0.02291
10.8,0.023775
11.0,0.023586
11.2,0.023497
11.4,0.023141
11.6,0.023649
11.8,0.022702
12.0,0.022126
12.2,0.022729
12.4,0.023482
12.6,0.022316
12.8,0.022241
13.0,0.023948
13.2,0.02326
13.4,0.023161
13.6,0.023871
13.8,0.026263
14.0,0.025616
14.2,0.02637
14.4,0.026735
14.6,0.027046
14.8,0.026222
15.0,0.026805
15.2,0.026156
15.4,0.027432
15.6,0.027392
15.8,0.027087
16.0,0.026833
16.2,0.027666
16.4,0.02638
16.6,0.027166
16.8,0.026487
17.0,0.027234
17.2,0.027359
17.4,0.027099
17.6,0.026352
17.8,0.028037
18.0,0.027587
18.2,0.027588
18.4,0.028184
18.6,0.027846
18.8,0.027206
19.0,0.027553
19.2,0.027946
19.4,0.028367
19.6,0.029465
19.8,0.028862
20.0,0.027122
20.2,0.026994
20.4,0.026069
20.6,0.025429
20.8,0.026264
21.0,0.028101
21.2,0.027119
21.4,0.027796
21.6,0.027397
21.8,0.027625
22.0,0.027379
22.2,0.02804
22.4,0.028717
22.6,0.029537
22.8,0.028415
23.0,0.028551
23.2,0.028359
23.4,0.027392
23.6,0.027112
23.8,0.027684
24.0,0.026867
24.2,0.027246
24.4,0.028153
24.6,0.028071
24.8,0.028017
25.0,0.02886
25.2,0.028331
25.4,0.027512
25.6,0.027505
25.8,0.027555
26.0,0.0271
26.2,0.027156
26.4,0.027348
26.6,0.02743
26.8,0.027527
27.0,0.028175
27.2,0.028251
27.4,0.028773
27.6,0.028694
27.8,0.02894
28.0,0.028381
28.2,0.029141
28.4,0.02902
28.6,0.029926
28.8,0.030338
29.0,0.030506
29.2,0.030277
29.4,0.029794
29.6,0.030021
29.8,0.030641
30.0,0.03081
30.2,0.030411
30.4,0.031898
30.6,0.030771
30.8,0.030377
31.0,0.030145
31.2,0.030252
31.4,0.029396
31.6,0.029682
31.8,0.029312
32.0,0.028884
32.2,0.028988
32.4,0.029208
32.6,0.030071
32.8,0.030317
33.0,0.03135
33.2,0.031255
33.4,0.030807
33.6,0.03021
33.8,0.030275
34.0,0.030131
34.2,0.030375
34.4,0.03089
34.6,0.030645
34.8,0.030985
35.0,0.03035
35.2,0.031112
35.4,0.030247
35.6,0.031067
35.8,0.030402
36.0,0.031024
36.2,0.030394
36.4,0.031007
36.6,0.030909
36.8,0.031404
37.0,0.031951
37.2,0.032403
37.4,0.032143
37.6,0.031907
37.8,0.031037
38.0,0.030396
38.2,0.029755
38.4,0.030132
38.6,0.02992
38.8,0.030711
39.0,0.030986
39.2,0.031866
39.4,0.031413
39.6,0.031843
39.8,0.032287
40.0,0.03302
40.2,0.032956
40.4,0.032958
40.6,0.032631
40.8,0.033582
41.0,0.0333403
41.2,0.032612
41.4,0.032466
41.6,0.033005
41.8,0.032053
42.0,0.031511
42.2,0.031673
42.4,0.032061
42.6,0.031418
42.8,0.031184
43.0,0.031308
43.2,0.032505
43.4,0.03294
43.6,0.0335681
43.8,0.03411
44.0,0.0343025
44.2,0.033162
44.4,0.031909
44.6,0.03232
44.8,0.031124
45.0,0.031125
45.2,0.032018
45.4,0.032812
45.6,0.032027
45.8,0.032828
46.0,0.033243
46.2,0.030961
46.4,0.031333
46.6,0.032069
46.8,0.032151
47.0,0.032298
47.2,0.0334762
47.4,0.032389
47.6,0.031475
47.8,0.031613
48.0,0.03071
48.2,0.030438
48.4,0.030935
48.6,0.031698
48.8,0.031631
49.0,0.032684
49.2,0.0334942
49.4,0.0346252
49.6,0.0351807
49.8,0.0338996
50.0,0.032875
50.2,0.0338269
50.4,0.033115
50.6,0.032005
50.8,0.0339219
51.0,0.0348188
51.2,0.0339424
51.4,0.0344471
51.6,0.034783
51.8,0.0340834
52.0,0.0334543
52.2,0.032462
52.4,0.032322
52.6,0.03115
52.8,0.031363
53.0,0.03144
53.2,0.032278
53.4,0.032479
53.6,0.0346271
53.8,0.0335201
54.0,0.0337533
54.2,0.0344959
54.4,0.0344264
54.6,0.0343131
54.8,0.0352123
55.0,0.0354129
55.2,0.0354394
55.4,0.0350665
55.6,0.0348088
55.8,0.0339053
56.0,0.0336576
56.2,0.033003
56.4,0.033147
56.6,0.032665
56.8,0.033001
57.0,0.0336612
57.2,0.0344555
57.4,0.0340092
57.6,0.0344397
57.8,0.0356167
58.0,0.0348421
58.2,0.0347221
58.4,0.0356902
58.6,0.0360331
58.8,0.0354825
59.0,0.0360884
59.2,0.0352825
59.4,0.0343297
59.6,0.0338621
59.8,0.0339991
60.0,0.0344472
60.2,0.0353535
60.4,0.0355208
60.6,0.0357348
60.8,0.0352748
61.0,0.0345915
61.2,0.034718
61.4,0.0344093
61.6,0.0339253
61.8,0.0339507
62.0,0.0333858
62.2,0.032356
62.4,0.0334782
62.6,0.0337456
62.8,0.0343517
63.0,0.035176
63.2,0.0366131
63.4,0.0364336
63.6,0.0361767
63.8,0.0358459
64.0,0.0361207
