Time (s),Binding (nm)
0.0,0.0
0.2,0.001247
0.4,0.001284
0.6,0.000143
0.8,0.001046
1.0,0.001166
1.2,0.001007
1.4,0.001154
1.6,0.002576
1.8,0.002454
2.0,0.002867
2.2,0.003586
2.4,0.003853
2.6,0.002712
2.8,0.003083
3.0,0.004409
3.2,0.005494
3.4,0.005766
3.6,0.006376
3.8,0.006476
4.0,0.005421
4.2,0.004143
4.4,0.004817
4.6,0.005261
4.8,0.00572
5.0,0.005339
5.2,0.00624
5.4,0.005125
5.6,0.005729
5.8,0.005236
6.0,0.005895
6.2,0.005544
6.4,0.007264
6.6,0.006953
6.8,0.006872
7.0,0.007506
7.2,0.007687
7.4,0.008162
7.6,0.007581
7.8,0.008947
8.0,0.009309
8.2,0.009618
8.4,0.009095
8.6,0.009807
8.8,0.008699
9.0,0.008864
9.2,0.009991
9.4,0.010583
9.6,0.010829
9.8,0.011245
10.0,0.011413
10.2,0.010129
10.4,0.009173
10.6,0.008898
10.8,0.009898
11.0,0.009964
11.2,0.010727
11.4,0.011497
11.6,0.012612
11.8,0.012835
12.0,0.012751
12.2,0.013034
12.4,0.013468
12.6,0.01403
12.8,0.014224
13.0,0.014989
13.2,0.014788
13.4,0.015365
13.6,0.015051
13.8,0.015905
14.0,0.015733
14.2,0.016423
14.4,0.016152
14.6,0.016687
14.8,0.015926
15.0,0.016042
15.2,0.015778
15.4,0.015491
15.6,0.015146
15.8,0.015571
16.0,0.014211
16.2,0.015785
16.4,0.015739
16.6,0.015892
16.8,0.015932
17.0,0.017675
17.2,0.017018
17.4,0.017953
17.6,0.017756
17.8,0.017944
18.0,0.017543
18.2,0.016619
18.4,0.01682
18.6,0.017087
18.8,0.015456
19.0,0.016142
19.2,0.016871
19.4,0.016802
19.6,0.016866
19.8,0.018851
20.0,0.018967
20.2,0.01838
20.4,0.01816
20.6,0.018397
20.8,0.017229
21.0,0.017033
21.2,0.01761
21.4,0.016773
21.6,0.017445
21.8,0.018057
22.0,0.01761
22.2,0.01773
22.4,0.018948
22.6,0.018862
22.8,0.019023
23.0,0.019714
23.2,0.019902
23.4,0.020035
23.6,0.019675
23.8,0.020378
24.0,0.021032
24.2,0.02156
24.4,0.022057
24.6,0.022707
24.8,0.022571
25.0,0.021581
25.2,0.020686
25.4,0.020759
25.6,0.020403
25.8,0.020451
26.0,0.020873
26.2,0.021216
26.4,0.020716
26.6,0.021188
26.8,0.021261
27.0,0.021469
27.2,0.021584
27.4,0.021507
27.6,0.020712
27.8,0.02152
28.0,0.020846
28.2,0.021664
28.4,0.022208
28.6,0.022692
28.8,0.022227
29.0,0.022598
29.2,0.022161
29.4,0.021368
29.6,0.021687
29.8,0.020378
30.0,0.021947
30.2,0.02188
30.4,0.022086
30.6,0.022558
30.8,0.023387
31.0,0.023131
31.2,0.02387
31.4,0.024354
31.6,0.024267
31.8,0.024441
32.0,0.024459
32.2,0.02488
32.4,0.024528
32.6,0.024576
32.8,0.024158
33.0,0.02365
33.2,0.022774
33.4,0.023188
33.6,0.023182
33.8,0.023211
34.0,0.023835
34.2,0.023637
34.4,0.024446
34.6,0.024698
34.8,0.02566
35.0,0.024106
35.2,0.02483
35.4,0.024596
35.6,0.024182
35.8,0.024831
36.0,0.025229
36.2,0.025154
36.4,0.024303
36.6,0.025301
36.8,0.023914
37.0,0.024414
37.2,0.02404
37.4,0.024395
37.6,0.024329
37.8,0.024324
38.0,0.024106
38.2,0.0233
38.4,0.023643
38.6,0.022691
38.8,0.023465
39.0,0.024748
39.2,0.025066
39.4,0.025218
39.6,0.02564
39.8,0.024753
40.0,0.023329
40.2,0.023287
40.4,0.022443
40.6,0.02335
40.8,0.02371
41.0,0.024318
41.2,0.024926
41.4,0.025924
41.6,0.024052
41.8,0.024223
42.0,0.024329
42.2,0.025323
42.4,0.024246
42.6,0.025459
42.8,0.026333
43.0,0.026193
43.2,0.025826
43.4,0.027246
43.6,0.026536
43.8,0.026382
44.0,0.027011
44.2,0.02667
44.4,0.02627
44.6,0.027516
44.8,0.027456
45.0,0.027517
45.2,0.027163
45.4,0.0265
45.6,0.025618
45.8,0.025591
46.0,0.024342
46.2,0.024475
46.4,0.024757
46.6,0.024661
46.8,0.024587
47.0,0.025268
47.2,0.025801
47.4,0.026482
47.6,0.026778
47.8,0.026782
48.0,0.027474
48.2,0.028179
48.4,0.029056
48.6,0.029437
48.8,0.030366
49.0,0.029495
49.2,0.028526
49.4,0.02829
49.6,0.027766
49.8,0.027203
50.0,0.028346
