Time (s),Binding (nm)
0.0,0.0
0.2,-0.002367
0.4,-0.001998
0.6,-0.004065
0.8,-0.001836
1.0,-0.002718
1.2,-0.002603
1.4,-0.001508
1.6,0.000198
1.8,-0.000492
2.0,0.001314
2.2,0.001552
2.4,0.000494
2.6,-0.000721
2.8,-0.000323
3.0,-0.000757
3.2,3.3e-05
3.4,0.001433
3.6,0.00303
3.8,0.003396
4.0,0.002689
4.2,0.003562
4.4,0.003434
4.6,0.002323
4.8,0.002327
5.0,0.002313
5.2,0.001708
5.4,0.0013
5.6,0.001694
5.8,0.002175
6.0,0.002459
6.2,0.002876
6.4,0.00378
6.6,0.004205
6.8,0.004031
7.0,0.004871
7.2,0.004422
7.4,0.003054
7.6,0.004116
7.8,0.00463
8.0,0.004397
8.2,0.004671
8.4,0.005128
8.6,0.004765
8.8,0.005142
9.0,0.005593
9.2,0.005423
9.4,0.006237
9.6,0.006428
9.8,0.005253
10.0,0.005856
10.2,0.006691
10.4,0.006264
10.6,0.006168
10.8,0.007123
11.0,0.006139
11.2,0.007234
11.4,0.007705
11.6,0.008033
11.8,0.00853
12.0,0.009629
12.2,0.009217
12.4,0.009474
12.6,0.009945
12.8,0.009626
13.0,0.009303
13.2,0.009865
13.4,0.010225
13.6,0.009202
13.8,0.01011
14.0,0.011179
14.2,0.010678
14.4,0.011278
14.6,0.013176
14.8,0.013088
15.0,0.012613
15.2,0.012718
15.4,0.012469
15.6,0.011044
15.8,0.01102
16.0,0.010999
16.2,0.011623
16.4,0.012005
16.6,0.012424
16.8,0.012647
17.0,0.012619
17.2,0.012045
17.4,0.01209
17.6,0.01128
17.8,0.011329
18.0,0.012128
18.2,0.011763
18.4,0.011523
18.6,0.012851
18.8,0.0133
19.0,0.01214
19.2,0.013189
19.4,0.013242
19.6,0.013177
19.8,0.012802
20.0,0.013748
20.2,0.013128
20.4,0.012662
20.6,0.013816
20.8,0.013743
21.0,0.014224
21.2,0.01487
21.4,0.015016
21.6,0.013421
21.8,0.013915
22.0,0.013084
22.2,0.012368
22.4,0.013798
22.6,0.014291
22.8,0.014067
23.0,0.014043
23.2,0.014128
23.4,0.013397
23.6,0.013398
23.8,0.013341
24.0,0.014445
24.2,0.015049
24.4,0.015543
24.6,0.016409
24.8,0.015825
25.0,0.015477
25.2,0.015365
25.4,0.015
25.6,0.014022
25.8,0.015012
26.0,0.015396
26.2,0.015765
26.4,0.0157
26.6,0.016004
26.8,0.014168
27.0,0.014471
27.2,0.01444
27.4,0.01484
27.6,0.015016
27.8,0.016512
28.0,0.015869
28.2,0.01635
28.4,0.016159
28.6,0.016273
28.8,0.017916
29.0,0.017458
29.2,0.016705
29.4,0.016398
29.6,0.015713
29.8,0.014755
30.0,0.014987
30.2,0.014319
30.4,0.01461
30.6,0.015889
30.8,0.015558
31.0,0.016319
31.2,0.016694
31.4,0.017179
31.6,0.016969
31.8,0.017335
32.0,0.017565
32.2,0.018407
32.4,0.018457
32.6,0.018594
32.8,0.019869
33.0,0.019922
33.2,0.019489
33.4,0.019682
33.6,0.019345
33.8,0.018074
34.0,0.017825
34.2,0.017453
34.4,0.016674
34.6,0.018097
34.8,0.017735
35.0,0.017944
35.2,0.018454
35.4,0.018973
35.6,0.017869
35.8,0.018405
36.0,0.017605
36.2,0.017201
36.4,0.017702
36.6,0.018281
36.8,0.017392
37.0,0.017063
37.2,0.017446
37.4,0.01772
37.6,0.016335
37.8,0.017748
38.0,0.018964
38.2,0.019261
38.4,0.019475
38.6,0.019773
38.8,0.019514
39.0,0.019527
39.2,0.020876
39.4,0.019833
39.6,0.020581
39.8,0.020718
40.0,0.020592
40.2,0.019211
40.4,0.019576
40.6,0.019408
40.8,0.019526
41.0,0.019163
41.2,0.018963
41.4,0.019722
41.6,0.019293
41.8,0.017843
42.0,0.019254
42.2,0.020295
42.4,0.019794
42.6,0.020299
42.8,0.022267
43.0,0.021697
43.2,0.02108
43.4,0.020858
43.6,0.021844
43.8,0.020608
44.0,0.02034
44.2,0.020574
44.4,0.021643
44.6,0.021975
44.8,0.02334
45.0,0.022217
45.2,0.022187
45.4,0.020005
45.6,0.01941
45.8,0.019066
46.0,0.020737
46.2,0.021054
46.4,0.022279
46.6,0.021402
46.8,0.021726
47.0,0.021319
47.2,0.021568
47.4,0.021478
47.6,0.022429
47.8,0.022142
48.0,0.021913
48.2,0.021943
48.4,0.02248
48.6,0.021177
48.8,0.021462
49.0,0.022344
49.2,0.021448
49.4,0.021838
49.6,0.022572
49.8,0.021843
50.0,0.021048
50.2,0.02089
50.4,0.020849
50.6,0.02117
50.8,0.022227
51.0,0.021793
51.2,0.02308
51.4,0.022675
51.6,0.021983
51.8,0.022033
52.0,0.022913
52.2,0.022404
52.4,0.022106
52.6,0.022367
52.8,0.022548
53.0,0.023161
53.2,0.023097
53.4,0.023479
53.6,0.023635
53.8,0.022728
54.0,0.021951
54.2,0.021606
54.4,0.021045
54.6,0.021107
54.8,0.021734
55.0,0.022348
55.2,0.023032
55.4,0.022965
55.6,0.02311
55.8,0.023077
56.0,0.022552
56.2,0.02201
56.4,0.022906
56.6,0.023784
56.8,0.024113
57.0,0.024833
57.2,0.025096
57.4,0.025006
57.6,0.024421
57.8,0.024094
58.0,0.023483
58.2,0.023978
58.4,0.023423
58.6,0.023035
58.8,0.022394
59.0,0.022843
59.2,0.022616
59.4,0.024219
59.6,0.024379
59.8,0.025847
60.0,0.026612
60.2,0.027005
60.4,0.026099
60.6,0.026529
60.8,0.024898
61.0,0.02416
61.2,0.023838
61.4,0.023899
61.6,0.023587
61.8,0.024449
62.0,0.024865
62.2,0.02475
62.4,0.024695
62.6,0.024908
62.8,0.025469
63.0,0.024611
63.2,0.025108
63.4,0.025353
63.6,0.025166
63.8,0.02431
64.0,0.02522
64.2,0.024964
64.4,0.0244
64.6,0.024528
64.8,0.024922
65.0,0.024101
65.2,0.024021
65.4,0.02465
65.6,0.024854
65.8,0.024504
66.0,0.025263
66.2,0.025062
66.4,0.024337
66.6,0.024689
66.8,0.025936
67.0,0.025141
67.2,0.025442
67.4,0.025695
67.6,0.025335
67.8,0.025304
68.0,0.026189
68.2,0.02588
68.4,0.026431
68.6,0.026458
68.8,0.024492
69.0,0.023859
69.2,0.024881
