Time (s),Binding (nm)
0.0,0.0
0.2,0.002598
0.4,0.001868
0.6,0.002574
0.8,0.004154
1.0,0.004817
1.2,0.004481
1.4,0.005278
1.6,0.005698
1.8,0.005573
2.0,0.005684
2.2,0.007162
2.4,0.007315
2.6,0.007641
2.8,0.007437
3.0,0.008056
3.2,0.008202
3.4,0.008107
3.6,0.008329
3.8,0.008632
4.0,0.008297
4.2,0.007302
4.4,0.007164
4.6,0.007469
4.8,0.008536
5.0,0.008044
5.2,0.009393
5.4,0.0102
5.6,0.00992
5.8,0.009753
6.0,0.010723
6.2,0.010962
6.4,0.010938
6.6,0.011419
6.8,0.012407
7.0,0.012465
7.2,0.011975
7.4,0.011964
7.6,0.011666
7.8,0.011413
8.0,0.011034
8.2,0.011433
8.4,0.010851
8.6,0.011037
8.8,0.010715
9.0,0.011955
9.2,0.012392
9.4,0.013806
9.6,0.014057
9.8,0.014638
10.0,0.014016
10.2,0.013436
10.4,0.013986
10.6,0.014356
10.8,0.013894
11.0,0.01493
11.2,0.016212
11.4,0.015464
11.6,0.01478
11.8,0.015339
12.0,0.014213
12.2,0.012886
12.4,0.013331
12.6,0.013716
12.8,0.013813
13.0,0.013897
13.2,0.01505
13.4,0.014867
13.6,0.015783
13.8,0.015602
14.0,0.016803
14.2,0.016678
14.4,0.016251
14.6,0.016142
14.8,0.015935
15.0,0.015509
15.2,0.015695
15.4,0.016645
15.6,0.017391
15.8,0.017494
16.0,0.017979
16.2,0.017921
16.4,0.018429
16.6,0.01832
16.8,0.019371
17.0,0.019295
17.2,0.020144
17.4,0.020099
17.6,0.019444
17.8,0.018443
18.0,0.018224
18.2,0.017463
18.4,0.017879
18.6,0.01888
18.8,0.019782
19.0,0.020164
19.2,0.019708
19.4,0.01842
19.6,0.01745
19.8,0.01661
20.0,0.016473
20.2,0.016491
20.4,0.017284
20.6,0.017229
20.8,0.01853
21.0,0.018661
21.2,0.019168
21.4,0.019642
21.6,0.020214
21.8,0.020136
22.0,0.021218
22.2,0.02268
22.4,0.022565
22.6,0.022928
22.8,0.022788
23.0,0.021269
23.2,0.020631
23.4,0.020714
23.6,0.020543
23.8,0.021257
24.0,0.0215
24.2,0.021323
24.4,0.02124
24.6,0.021755
24.8,0.021884
25.0,0.023153
25.2,0.023146
25.4,0.022879
25.6,0.022818
25.8,0.022122
26.0,0.020996
26.2,0.021414
26.4,0.021055
26.6,0.020652
26.8,0.021312
27.0,0.021922
27.2,0.021915
27.4,0.021433
27.6,0.022088
27.8,0.020707
28.0,0.02053
28.2,0.020178
28.4,0.021663
28.6,0.020939
28.8,0.022015
29.0,0.02201
29.2,0.021701
29.4,0.021139
29.6,0.021535
29.8,0.020643
30.0,0.021056
30.2,0.021461
30.4,0.021369
30.6,0.022
30.8,0.023492
31.0,0.024029
31.2,0.023722
31.4,0.024903
31.6,0.023274
31.8,0.02263
32.0,0.022453
32.2,0.023143
32.4,0.021817
32.6,0.023225
32.8,0.023299
33.0,0.022771
33.2,0.022517
33.4,0.023584
33.6,0.024234
33.8,0.023666
34.0,0.023114
34.2,0.022964
34.4,0.022949
34.6,0.021762
34.8,0.022695
35.0,0.022937
35.2,0.023137
35.4,0.022037
35.6,0.022755
35.8,0.022266
36.0,0.022907
36.2,0.022615
36.4,0.02266
36.6,0.022641
36.8,0.022124
37.0,0.022134
37.2,0.022353
37.4,0.023359
37.6,0.023161
37.8,0.023077
38.0,0.023709
38.2,0.024225
38.4,0.024328
38.6,0.02442
38.8,0.024249
39.0,0.023523
39.2,0.022911
39.4,0.023259
39.6,0.024357
39.8,0.025644
40.0,0.025463
40.2,0.02595
40.4,0.024997
40.6,0.024389
40.8,0.024489
41.0,0.02659
41.2,0.02575
41.4,0.026834
41.6,0.026479
41.8,0.025766
42.0,0.024071
42.2,0.024582
42.4,0.023526
42.6,0.023405
42.8,0.025013
43.0,0.025258
43.2,0.024697
43.4,0.02535
43.6,0.026007
43.8,0.024457
44.0,0.024215
44.2,0.025833
44.4,0.025479
44.6,0.025167
44.8,0.025587
45.0,0.025858
45.2,0.024717
45.4,0.025216
45.6,0.024299
45.8,0.024644
46.0,0.023745
46.2,0.023951
46.4,0.023867
46.6,0.025244
46.8,0.02447
47.0,0.026028
47.2,0.025483
47.4,0.024864
47.6,0.024404
47.8,0.025469
48.0,0.02411
48.2,0.024975
48.4,0.026033
48.6,0.026518
48.8,0.026175
49.0,0.026166
49.2,0.025991
49.4,0.025982
49.6,0.024608
49.8,0.025066
50.0,0.025246
50.2,0.025903
50.4,0.025088
50.6,0.025499
50.8,0.025698
51.0,0.026358
51.2,0.026791
51.4,0.026718
51.6,0.027732
51.8,0.026629
52.0,0.026677
52.2,0.025641
52.4,0.025887
52.6,0.024991
52.8,0.025057
53.0,0.025239
53.2,0.025256
53.4,0.024532
53.6,0.025111
53.8,0.02534
54.0,0.025509
54.2,0.025932
54.4,0.027128
54.6,0.026931
54.8,0.026955
55.0,0.02597
55.2,0.024698
55.4,0.025023
55.6,0.024602
55.8,0.024902
56.0,0.025394
56.2,0.026511
56.4,0.026942
56.6,0.027732
56.8,0.027015
57.0,0.02729
57.2,0.02654
57.4,0.026113
57.6,0.02598
57.8,0.026432
58.0,0.026284
58.2,0.026074
58.4,0.025531
58.6,0.025546
58.8,0.025441
59.0,0.025338
59.2,0.026795
59.4,0.02743
59.6,0.028676
59.8,0.028073
60.0,0.028636
60.2,0.028448
60.4,0.028199
60.6,0.027131
60.8,0.028394
61.0,0.028837
61.2,0.027854
61.4,0.027044
61.6,0.026963
61.8,0.025889
62.0,0.024667
62.2,0.025744
62.4,0.027005
62.6,0.027635
62.8,0.027888
63.0,0.028403
63.2,0.028392
63.4,0.027805
63.6,0.027397
63.8,0.027414
64.0,0.02771
64.2,0.027961
64.4,0.028125
64.6,0.028034
64.8,0.028722
65.0,0.029084
65.2,0.027759
65.4,0.027339
65.6,0.028341
65.8,0.028
66.0,0.028104
66.2,0.028472
66.4,0.028422
66.6,0.027859
66.8,0.027583
67.0,0.027422
67.2,0.028432
67.4,0.028881
67.6,0.0278
67.8,0.027724
68.0,0.027563
68.2,0.027134
68.4,0.026602
68.6,0.028042
68.8,0.028643
69.0,0.028447
69.2,0.028445
69.4,0.029611
69.6,0.0287
69.8,0.028693
70.0,0.028572
70.2,0.029011
70.4,0.02873
70.6,0.029292
70.8,0.02929
71.0,0.029195
71.2,0.028654
71.4,0.02875
71.6,0.028698
71.8,0.028726
72.0,0.029116
72.2,0.029119
72.4,0.029431
72.6,0.029206
72.8,0.029055
73.0,0.027782
73.2,0.027542
73.4,0.026541
73.6,0.027261
73.8,0.027971
74.0,0.029297
74.2,0.030076
74.4,0.031207
74.6,0.030745
74.8,0.030507
75.0,0.030613
75.2,0.029453
75.4,0.028294
75.6,0.028317
75.8,0.028614
76.0,0.028173
76.2,0.029044
76.4,0.030443
76.6,0.029959
76.8,0.030254
77.0,0.030298
77.2,0.030308
77.4,0.0297
77.6,0.029327
77.8,0.02903
