Time (s),Binding (nm)
0.0,0.045071
0.2,0.045071
0.4,0.045071
0.6,0.045071
0.8,0.045668
1.0,0.046517
1.2,0.045292
1.4,0.044509
1.6,0.045598
1.8,0.044412
2.0,0.04385
2.2,0.04296
2.4,0.042162
2.6,0.041807
2.8,0.041297
3.0,0.04071
3.2,0.041652
3.4,0.041058
3.6,0.040773
3.8,0.041107
4.0,0.04056
4.2,0.040834
4.4,0.041631
4.6,0.041458
4.8,0.042218
5.0,0.042522
5.2,0.042587
5.4,0.042383
5.6,0.043151
5.8,0.042125
6.0,0.041959
6.2,0.041204
6.4,0.041717
6.6,0.040875
6.8,0.041725
7.0,0.041621
7.2,0.042127
7.4,0.041973
7.6,0.043556
7.8,0.043409
8.0,0.044408
8.2,0.043876
8.4,0.043186
8.6,0.040832
8.8,0.041129
9.0,0.041157
9.2,0.041737
9.4,0.042468
9.6,0.043686
9.8,0.04311
10.0,0.043042
10.2,0.042015
10.4,0.041071
10.6,0.041251
10.8,0.041688
11.0,0.041383
11.2,0.042257
11.4,0.042744
11.6,0.042042
11.8,0.042122
12.0,0.042558
12.2,0.041237
12.4,0.040874
12.6,0.040842
12.8,0.04133
13.0,0.040784
13.2,0.042162
13.4,0.043655
13.6,0.04451
13.8,0.043609
14.0,0.043212
14.2,0.041818
14.4,0.040555
14.6,0.039501
14.8,0.039341
15.0,0.039458
15.2,0.04028
15.4,0.040804
15.6,0.041165
15.8,0.041493
16.0,0.042183
16.2,0.042254
16.4,0.042055
16.6,0.042741
16.8,0.04239
17.0,0.042009
17.2,0.042247
17.4,0.042453
17.6,0.042171
17.8,0.042429
18.0,0.042374
18.2,0.043055
18.4,0.042807
18.6,0.042209
18.8,0.042107
19.0,0.041372
19.2,0.040759
19.4,0.040348
19.6,0.040153
19.8,0.040524
20.0,0.042029
20.2,0.041711
20.4,0.042336
20.6,0.042886
20.8,0.042345
21.0,0.041419
21.2,0.042005
21.4,0.041598
21.6,0.041798
21.8,0.042301
22.0,0.043036
22.2,0.041802
22.4,0.042079
22.6,0.041476
22.8,0.042417
23.0,0.041639
23.2,0.041839
23.4,0.041221
23.6,0.041451
23.8,0.040202
24.0,0.040429
24.2,0.040702
24.4,0.041274
24.6,0.041358
24.8,0.042044
25.0,0.040935
25.2,0.040985
25.4,0.041574
25.6,0.042499
25.8,0.042046
26.0,0.04307
26.2,0.042833
26.4,0.041693
26.6,0.041074
26.8,0.040585
27.0,0.040474
27.2,0.042185
27.4,0.042489
27.6,0.042829
27.8,0.042803
28.0,0.043016
28.2,0.041543
28.4,0.040457
28.6,0.039668
28.8,0.039749
29.0,0.038393
29.2,0.038433
29.4,0.039149
29.6,0.038603
29.8,0.039271
30.0,0.0406
30.2,0.040246
30.4,0.039763
30.6,0.040454
30.8,0.039731
31.0,0.039548
31.2,0.038917
31.4,0.039413
31.6,0.039061
31.8,0.038854
32.0,0.038608
32.2,0.040135
32.4,0.040987
32.6,0.041239
32.8,0.041434
33.0,0.041458
33.2,0.040577
33.4,0.039828
33.6,0.040164
33.8,0.040182
34.0,0.040765
34.2,0.04044
34.4,0.04084
34.6,0.040092
34.8,0.04088
35.0,0.039562
35.2,0.040231
35.4,0.04049
35.6,0.040956
35.8,0.040016
36.0,0.041255
36.2,0.041368
36.4,0.040819
36.6,0.040194
36.8,0.040921
37.0,0.040787
37.2,0.040511
37.4,0.040537
37.6,0.040996
37.8,0.03969
38.0,0.038996
38.2,0.03795
38.4,0.038415
38.6,0.038138
38.8,0.039151
39.0,0.040022
39.2,0.040637
39.4,0.040577
39.6,0.041748
39.8,0.041557
40.0,0.040911
40.2,0.041083
40.4,0.0404
40.6,0.039447
40.8,0.039053
41.0,0.039475
41.2,0.039774
41.4,0.03968
41.6,0.039495
41.8,0.039774
42.0,0.03876
42.2,0.038181
42.4,0.03897
42.6,0.039027
42.8,0.039599
43.0,0.040336
43.2,0.040269
43.4,0.040231
43.6,0.040016
43.8,0.039726
44.0,0.040003
44.2,0.0398
44.4,0.039406
44.6,0.039564
44.8,0.039781
45.0,0.039221
45.2,0.040083
45.4,0.040019
45.6,0.040505
