Time (s),Binding (nm)
0.0,0.060821
0.2,0.060821
0.4,0.060821
0.6,0.062469
0.8,0.060772
1.0,0.05955
1.2,0.059488
1.4,0.059712
1.6,0.05895
1.8,0.059587
2.0,0.059141
2.2,0.058412
2.4,0.057348
2.6,0.056668
2.8,0.055542
3.0,0.05496
3.2,0.0559
3.4,0.05599
3.6,0.056042
3.8,0.057039
4.0,0.057747
4.2,0.057428
4.4,0.057212
4.6,0.057808
4.8,0.057299
5.0,0.056949
5.2,0.056273
5.4,0.056056
5.6,0.055252
5.8,0.054336
6.0,0.053622
6.2,0.053217
6.4,0.053697
6.6,0.053997
6.8,0.055494
7.0,0.055667
7.2,0.054961
7.4,0.055391
7.6,0.054147
7.8,0.052511
8.0,0.05295
8.2,0.053594
8.4,0.052718
8.6,0.053304
8.8,0.05408
9.0,0.053832
9.2,0.054432
9.4,0.054319
9.6,0.054837
9.8,0.054484
10.0,0.053448
10.2,0.052642
10.4,0.052469
10.6,0.052039
10.8,0.051632
11.0,0.053433
11.2,0.052551
11.4,0.052567
11.6,0.052408
11.8,0.052955
12.0,0.051862
12.2,0.053519
12.4,0.054043
12.6,0.054576
12.8,0.054478
13.0,0.05462
13.2,0.053953
13.4,0.055705
13.6,0.056073
13.8,0.056885
14.0,0.056415
14.2,0.055938
14.4,0.053162
14.6,0.052575
14.8,0.052314
15.0,0.052447
15.2,0.052694
15.4,0.053226
15.6,0.053707
15.8,0.05287
16.0,0.052574
16.2,0.052247
16.4,0.052451
16.6,0.052121
16.8,0.052408
17.0,0.053039
17.2,0.052038
17.4,0.051979
17.6,0.052462
17.8,0.051459
18.0,0.051291
18.2,0.051372
18.4,0.051966
18.6,0.051969
18.8,0.053566
19.0,0.052212
19.2,0.053284
19.4,0.052711
19.6,0.052629
19.8,0.051665
20.0,0.053366
20.2,0.052521
20.4,0.053571
20.6,0.052808
20.8,0.052848
21.0,0.052137
21.2,0.053852
21.4,0.052638
21.6,0.052606
21.8,0.053395
22.0,0.05385
22.2,0.053232
22.4,0.054151
22.6,0.054025
22.8,0.053511
23.0,0.053286
23.2,0.053339
23.4,0.053034
23.6,0.052312
23.8,0.051485
24.0,0.051154
24.2,0.050349
24.4,0.049671
24.6,0.050082
24.8,0.05105
25.0,0.051009
25.2,0.051659
25.4,0.051743
25.6,0.052035
25.8,0.051858
26.0,0.052251
26.2,0.052221
26.4,0.052762
26.6,0.053109
26.8,0.053018
27.0,0.053305
27.2,0.052808
27.4,0.052378
27.6,0.051088
27.8,0.050737
28.0,0.049763
28.2,0.049951
28.4,0.049708
28.6,0.049796
28.8,0.049452
29.0,0.049835
29.2,0.049651
29.4,0.049143
29.6,0.050688
29.8,0.050987
30.0,0.050899
30.2,0.05111
30.4,0.052322
30.6,0.051694
30.8,0.05157
31.0,0.050819
31.2,0.050829
31.4,0.049906
31.6,0.049844
31.8,0.051387
32.0,0.052325
32.2,0.051661
32.4,0.050758
32.6,0.050523
32.8,0.0488
33.0,0.048926
33.2,0.050462
33.4,0.051482
33.6,0.051848
33.8,0.051438
34.0,0.050928
34.2,0.049542
34.4,0.04931
34.6,0.049585
34.8,0.050279
35.0,0.051211
35.2,0.052277
35.4,0.052483
35.6,0.052567
35.8,0.053241
36.0,0.053399
36.2,0.052546
36.4,0.052537
36.6,0.052585
36.8,0.052433
37.0,0.052086
37.2,0.053062
37.4,0.052711
37.6,0.051899
37.8,0.05085
38.0,0.049979
38.2,0.049567
38.4,0.049492
38.6,0.049511
38.8,0.04995
39.0,0.049941
39.2,0.049282
39.4,0.05034
39.6,0.049161
39.8,0.049322
40.0,0.050771
40.2,0.050457
40.4,0.049758
40.6,0.050533
40.8,0.050914
41.0,0.049794
41.2,0.050192
41.4,0.049905
41.6,0.050326
41.8,0.050065
42.0,0.05083
42.2,0.051235
42.4,0.051704
42.6,0.050716
42.8,0.05072
43.0,0.049232
43.2,0.048379
43.4,0.047319
43.6,0.048497
43.8,0.047929
44.0,0.047988
44.2,0.049599
44.4,0.050491
44.6,0.050429
44.8,0.051486
45.0,0.051488
45.2,0.050623
45.4,0.050283
45.6,0.050044
45.8,0.049705
46.0,0.049785
46.2,0.049724
46.4,0.049373
46.6,0.049312
46.8,0.048771
47.0,0.048728
47.2,0.04853
47.4,0.049422
47.6,0.049991
47.8,0.049806
48.0,0.049675
48.2,0.049218
48.4,0.048484
48.6,0.048429
48.8,0.049819
49.0,0.049837
49.2,0.050495
49.4,0.050914
49.6,0.050982
49.8,0.050103
50.0,0.050251
50.2,0.050489
50.4,0.050815
50.6,0.050828
50.8,0.050427
51.0,0.049508
51.2,0.049456
51.4,0.048582
51.6,0.04849
51.8,0.048859
52.0,0.049934
52.2,0.049047
52.4,0.050643
52.6,0.049903
52.8,0.049789
53.0,0.050349
53.2,0.051014
53.4,0.049803
53.6,0.04989
53.8,0.049903
54.0,0.049566
54.2,0.04934
54.4,0.049575
54.6,0.048702
54.8,0.049185
55.0,0.049237
55.2,0.049974
55.4,0.049518
55.6,0.050395
55.8,0.050052
56.0,0.049017
56.2,0.048246
56.4,0.047607
56.6,0.046816
56.8,0.046855
57.0,0.046909
57.2,0.047899
57.4,0.048694
57.6,0.049704
57.8,0.049413
58.0,0.04978
58.2,0.049699
58.4,0.049244
58.6,0.048668
58.8,0.049142
59.0,0.049663
59.2,0.048797
59.4,0.049823
59.6,0.049628
59.8,0.049092
60.0,0.049162
60.2,0.049202
60.4,0.048356
60.6,0.048845
60.8,0.049876
61.0,0.049481
61.2,0.050034
61.4,0.050062
61.6,0.04963
61.8,0.047957
62.0,0.047752
62.2,0.046867
62.4,0.047147
62.6,0.046625
62.8,0.0466
63.0,0.047391
63.2,0.047024
63.4,0.047141
63.6,0.047575
63.8,0.048307
64.0,0.047614
64.2,0.047654
64.4,0.048439
64.6,0.048196
64.8,0.048236
65.0,0.048533
65.2,0.048932
65.4,0.047332
65.6,0.047706
65.8,0.04801
66.0,0.0478
66.2,0.048229
66.4,0.048923
66.6,0.049089
66.8,0.048262
67.0,0.048109
67.2,0.048763
67.4,0.048215
67.6,0.04813
67.8,0.048997
68.0,0.048664
68.2,0.04855
68.4,0.04861
68.6,0.048834
68.8,0.048241
69.0,0.049781
69.2,0.048597
69.4,0.049608
69.6,0.049623
69.8,0.050829
70.0,0.049185
70.2,0.049178
70.4,0.049282
70.6,0.048722
70.8,0.048013
71.0,0.049655
71.2,0.050406
71.4,0.049394
71.6,0.049634
71.8,0.049637
72.0,0.049333
72.2,0.049571
72.4,0.050007
72.6,0.050381
72.8,0.050626
73.0,0.049683
73.2,0.049927
73.4,0.050506
73.6,0.05083
73.8,0.050324
74.0,0.050856
74.2,0.049028
74.4,0.048698
74.6,0.048382
74.8,0.04857
75.0,0.048495
75.2,0.048682
75.4,0.048684
75.6,0.049143
75.8,0.048913
76.0,0.048433
76.2,0.049284
76.4,0.048745
76.6,0.04902
76.8,0.049119
77.0,0.049998
77.2,0.049685
77.4,0.049358
77.6,0.048915
77.8,0.049388
78.0,0.049004
78.2,0.049731
78.4,0.050176
78.6,0.049186
78.8,0.048716
79.0,0.048144
79.2,0.047682
79.4,0.04657
79.6,0.047781
79.8,0.047678
80.0,0.047809
80.2,0.047736
80.4,0.048587
80.6,0.048684
80.8,0.048023
81.0,0.047877
81.2,0.047284
81.4,0.047549
81.6,0.04611
81.8,0.04622
82.0,0.046474
82.2,0.048012
82.4,0.049243
82.6,0.049349
82.8,0.050055
83.0,0.050353
83.2,0.04885
83.4,0.048533
83.6,0.048941
83.8,0.048573
84.0,0.048931
84.2,0.049677
84.4,0.04894
84.6,0.048848
84.8,0.048994
85.0,0.048556
85.2,0.048591
85.4,0.047832
85.6,0.048208
85.8,0.048008
86.0,0.048402
86.2,0.047744
86.4,0.048769
86.6,0.048652
86.8,0.04954
87.0,0.049153
87.2,0.048724
87.4,0.048541
87.6,0.048206
87.8,0.047575
88.0,0.047204
88.2,0.04823
88.4,0.048544
88.6,0.04836
88.8,0.048305
89.0,0.047958
89.2,0.047083
89.4,0.046766
89.6,0.048519
89.8,0.048512
90.0,0.048828
90.2,0.04893
90.4,0.049024
90.6,0.048369
90.8,0.048461
91.0,0.048822
91.2,0.048922
91.4,0.048731
91.6,0.04789
91.8,0.047545
92.0,0.048211
92.2,0.048089
92.4,0.047393
92.6,0.047269
92.8,0.047816
93.0,0.047567
93.2,0.047489
93.4,0.047581
93.6,0.048157
93.8,0.048793
94.0,0.04819
94.2,0.046799
94.4,0.046593
94.6,0.046614
94.8,0.046894
95.0,0.048203
95.2,0.048842
95.4,0.048827
95.6,0.048284
95.8,0.048326
96.0,0.047897
96.2,0.048386
96.4,0.048042
96.6,0.049445
96.8,0.049551
97.0,0.049789
97.2,0.049208
97.4,0.048711
97.6,0.048296
97.8,0.047819
98.0,0.047413
98.2,0.047388
98.4,0.048033
98.6,0.048462
98.8,0.048873
99.0,0.049248
99.2,0.049428
99.4,0.048668
99.6,0.048234
99.8,0.048932
100.0,0.047793
100.2,0.047712
100.4,0.048276
100.6,0.049007
100.8,0.04687
101.0,0.048477
101.2,0.047925
101.4,0.048077
101.6,0.04789
101.8,0.049588
102.0,0.049281
102.2,0.048884
102.4,0.04888
102.6,0.048261
102.8,0.047843
103.0,0.046938
103.2,0.047023
103.4,0.047102
103.6,0.046433
103.8,0.046213
104.0,0.04696
104.2,0.048164
104.4,0.04837
104.6,0.049598
104.8,0.049753
105.0,0.050115
105.2,0.049527
105.4,0.049529
105.6,0.049204
105.8,0.049889
106.0,0.049358
106.2,0.049087
106.4,0.04802
106.6,0.047437
106.8,0.04634
107.0,0.046469
107.2,0.04645
107.4,0.046424
107.6,0.047458
107.8,0.048669
108.0,0.049441
108.2,0.048899
108.4,0.049254
108.6,0.048302
108.8,0.047111
109.0,0.045918
109.2,0.046595
109.4,0.048117
109.6,0.048296
109.8,0.049305
110.0,0.05007
110.2,0.050067
110.4,0.048873
110.6,0.04907
110.8,0.048547
111.0,0.048495
111.2,0.048554
111.4,0.046812
111.6,0.046964
111.8,0.046944
112.0,0.046811
112.2,0.046997
112.4,0.048962
112.6,0.048483
112.8,0.048802
113.0,0.048074
113.2,0.048
113.4,0.047351
113.6,0.047389
113.8,0.047089
114.0,0.047621
114.2,0.047299
114.4,0.047551
114.6,0.048302
114.8,0.047341
115.0,0.047574
115.2,0.048512
115.4,0.047312
115.6,0.046626
115.8,0.047521
116.0,0.047844
116.2,0.04799
116.4,0.049306
116.6,0.050114
116.8,0.050128
117.0,0.048699
117.2,0.048127
117.4,0.047098
117.6,0.046684
117.8,0.047046
118.0,0.048379
118.2,0.049427
118.4,0.050855
118.6,0.050344
118.8,0.050333
119.0,0.049523
119.2,0.048334
119.4,0.047002
119.6,0.047497
