Time (s),Binding (nm)
0.0,0.008066
0.2,0.008066
0.4,0.008066
0.6,0.008066
0.8,0.008821
1.0,0.009346
1.2,0.008562
1.4,0.006743
1.6,0.006433
1.8,0.00587
2.0,0.00647
2.2,0.007497
2.4,0.008801
2.6,0.009251
2.8,0.009624
3.0,0.01058
3.2,0.009451
3.4,0.009625
3.6,0.009141
3.8,0.009356
4.0,0.009083
4.2,0.009262
4.4,0.009405
4.6,0.009215
4.8,0.00919
5.0,0.008553
5.2,0.009958
5.4,0.009303
5.6,0.008863
5.8,0.009007
6.0,0.008616
6.2,0.007316
6.4,0.008444
6.6,0.008827
6.8,0.008643
7.0,0.009275
7.2,0.009899
7.4,0.008151
7.6,0.008704
7.8,0.009223
8.0,0.010019
8.2,0.00886
8.4,0.00968
8.6,0.00947
8.8,0.009306
9.0,0.007474
9.2,0.0075
9.4,0.007874
9.6,0.007532
9.8,0.007454
10.0,0.008236
10.2,0.009577
10.4,0.00919
10.6,0.009909
10.8,0.010425
11.0,0.010012
11.2,0.009734
11.4,0.009846
11.6,0.009015
11.8,0.008725
12.0,0.00881
12.2,0.009068
12.4,0.008592
12.6,0.009174
12.8,0.008568
13.0,0.00907
13.2,0.009467
13.4,0.010284
13.6,0.010486
13.8,0.010321
14.0,0.011171
14.2,0.010279
14.4,0.009572
14.6,0.009682
14.8,0.010253
15.0,0.009386
15.2,0.009862
15.4,0.010467
15.6,0.009758
15.8,0.00995
16.0,0.009294
16.2,0.008978
16.4,0.009453
16.6,0.009824
16.8,0.00862
17.0,0.010282
17.2,0.010363
17.4,0.009627
17.6,0.010564
17.8,0.01094
18.0,0.009934
18.2,0.010553
18.4,0.011685
18.6,0.01061
18.8,0.011814
19.0,0.012247
19.2,0.012368
19.4,0.010439
19.6,0.011174
19.8,0.010489
20.0,0.01096
20.2,0.010232
20.4,0.011883
20.6,0.011345
20.8,0.012017
21.0,0.010898
21.2,0.011537
21.4,0.01037
21.6,0.009796
21.8,0.009996
22.0,0.010485
22.2,0.00997
22.4,0.009996
22.6,0.011501
22.8,0.011517
23.0,0.011663
23.2,0.012151
23.4,0.012513
23.6,0.013169
23.8,0.012568
24.0,0.012182
24.2,0.011472
24.4,0.011384
24.6,0.010462
24.8,0.010084
25.0,0.010596
25.2,0.010516
25.4,0.0105
25.6,0.009464
25.8,0.009485
26.0,0.010056
26.2,0.010809
26.4,0.010908
26.6,0.011322
26.8,0.011279
27.0,0.010806
27.2,0.010233
27.4,0.010366
27.6,0.010398
27.8,0.011734
28.0,0.011276
28.2,0.012006
28.4,0.011831
28.6,0.012232
28.8,0.011476
29.0,0.011059
29.2,0.01151
29.4,0.011808
29.6,0.011845
29.8,0.011454
30.0,0.011766
30.2,0.010256
30.4,0.010078
30.6,0.009848
30.8,0.010018
31.0,0.009946
31.2,0.010475
31.4,0.011008
31.6,0.010565
31.8,0.010262
32.0,0.010707
32.2,0.010756
32.4,0.011494
32.6,0.012396
32.8,0.013379
33.0,0.012374
33.2,0.012776
33.4,0.011851
33.6,0.010786
33.8,0.010662
34.0,0.0116
34.2,0.011412
34.4,0.010792
34.6,0.011922
34.8,0.011119
35.0,0.011837
35.2,0.011293
35.4,0.012629
35.6,0.011142
35.8,0.011891
36.0,0.010967
36.2,0.012375
36.4,0.011375
36.6,0.01244
36.8,0.012727
37.0,0.013478
37.2,0.012818
37.4,0.013421
37.6,0.013401
37.8,0.013492
38.0,0.012611
38.2,0.012433
38.4,0.011315
38.6,0.011235
38.8,0.011119
39.0,0.011661
39.2,0.011702
39.4,0.012839
39.6,0.012953
39.8,0.012364
40.0,0.012412
40.2,0.011806
40.4,0.011019
40.6,0.011387
40.8,0.011161
41.0,0.011102
41.2,0.011828
41.4,0.011953
41.6,0.011202
41.8,0.011388
42.0,0.01053
42.2,0.009788
42.4,0.010118
42.6,0.010798
42.8,0.010564
43.0,0.012155
43.2,0.012639
43.4,0.012397
43.6,0.012211
43.8,0.013066
44.0,0.012641
44.2,0.012918
44.4,0.013779
44.6,0.013577
44.8,0.012962
45.0,0.012883
45.2,0.012148
45.4,0.011633
45.6,0.012121
45.8,0.011991
46.0,0.011283
46.2,0.012012
46.4,0.011992
46.6,0.011084
46.8,0.011877
47.0,0.012611
47.2,0.011154
47.4,0.011665
47.6,0.012526
47.8,0.011922
48.0,0.010629
48.2,0.012119
48.4,0.011659
48.6,0.011511
48.8,0.011628
49.0,0.011977
49.2,0.011722
49.4,0.011965
49.6,0.012304
49.8,0.011465
50.0,0.012404
50.2,0.012071
50.4,0.011368
50.6,0.011426
50.8,0.012057
51.0,0.012365
51.2,0.01293
51.4,0.013677
51.6,0.012565
51.8,0.01319
52.0,0.012552
52.2,0.012278
52.4,0.012142
52.6,0.012778
52.8,0.01245
53.0,0.013164
53.2,0.014063
53.4,0.013674
53.6,0.013753
53.8,0.013217
54.0,0.012329
54.2,0.011521
54.4,0.011129
54.6,0.011878
54.8,0.011744
55.0,0.011487
55.2,0.011803
55.4,0.012318
55.6,0.011673
55.8,0.012838
56.0,0.012433
56.2,0.0125
56.4,0.012844
56.6,0.013171
56.8,0.011894
57.0,0.012713
57.2,0.012238
57.4,0.0122
57.6,0.012365
57.8,0.013182
58.0,0.012473
58.2,0.012973
58.4,0.012651
58.6,0.012085
58.8,0.010963
59.0,0.011477
59.2,0.01177
59.4,0.013224
59.6,0.012665
59.8,0.013896
60.0,0.013964
60.2,0.013026
60.4,0.01176
60.6,0.013915
60.8,0.013834
61.0,0.014524
61.2,0.015158
61.4,0.015096
61.6,0.013508
61.8,0.013035
62.0,0.013506
62.2,0.014171
62.4,0.014891
62.6,0.013878
62.8,0.015129
63.0,0.014173
63.2,0.013334
63.4,0.012353
63.6,0.013288
63.8,0.012733
64.0,0.012236
64.2,0.012521
64.4,0.012924
64.6,0.013799
64.8,0.013193
65.0,0.013762
65.2,0.014314
65.4,0.01513
65.6,0.014407
65.8,0.01435
66.0,0.014889
66.2,0.014454
66.4,0.014239
66.6,0.014081
66.8,0.014332
67.0,0.013688
67.2,0.014201
67.4,0.013902
67.6,0.01318
67.8,0.013733
68.0,0.014159
68.2,0.013648
68.4,0.013535
68.6,0.014535
68.8,0.014418
69.0,0.014539
69.2,0.014883
69.4,0.015178
69.6,0.015232
69.8,0.015449
70.0,0.01473
70.2,0.014255
70.4,0.014163
70.6,0.014691
70.8,0.014494
71.0,0.014249
71.2,0.014846
71.4,0.014591
71.6,0.013883
71.8,0.014056
72.0,0.015666
72.2,0.015193
72.4,0.014337
72.6,0.013193
72.8,0.01256
73.0,0.011644
73.2,0.012079
73.4,0.012001
73.6,0.013526
73.8,0.013673
74.0,0.013182
74.2,0.013806
74.4,0.014493
74.6,0.014027
74.8,0.014822
75.0,0.01506
75.2,0.01401
75.4,0.014705
75.6,0.015524
75.8,0.014816
76.0,0.014359
76.2,0.015343
76.4,0.014466
76.6,0.013233
76.8,0.013317
77.0,0.013267
77.2,0.013271
77.4,0.013699
77.6,0.014454
77.8,0.014416
78.0,0.014396
78.2,0.013549
78.4,0.013816
78.6,0.013968
78.8,0.013793
79.0,0.014506
79.2,0.014753
79.4,0.014848
79.6,0.014221
79.8,0.015468
80.0,0.014587
80.2,0.014155
80.4,0.014384
80.6,0.014628
80.8,0.01386
81.0,0.015685
81.2,0.015581
81.4,0.01407
